No,Biaya,Daerah,Satuan,Nilai
321,Uang Harian Meeting,Jawa Timur,OH,Fullday / Halfday : Rp. 100.000; Fullboard : Rp. 140.000
322,Uang Harian Meeting,Bali,OH,Fullday / Halfday : Rp. 115.000; Fullboard : Rp. 160.000
323,Uang Harian Meeting,Nusa Tenggara Barat,OH,Fullday / Halfday : Rp. 105.000; Fullboard : Rp. 150.000
324,Uang Harian Meeting,Nusa Tenggara Timur,OH,Fullday / Halfday : Rp. 100.000; Fullboard : Rp. 140.000
325,Uang Harian Meeting,Kalimantan Barat,OH,Fullday / Halfday : Rp. 95.000; Fullboard : Rp. 130.000
326,Uang Harian Meeting,Kalimantan Tengah,OH,Fullday / Halfday : Rp. 85.000; Fullboard : Rp. 120.000
327,Uang Harian Meeting,Kalimantan Selatan,OH,Fullday / Halfday : Rp. 95.000; Fullboard : Rp. 130.000
328,Uang Harian Meeting,Kalimantan Timur,OH,Fullday / Halfday : Rp. 105.000; Fullboard : Rp. 150.000
329,Uang Harian Meeting,Kalimantan Utara,OH,Fullday / Halfday : Rp. 105.000; Fullboard : Rp. 150.000
330,Uang Harian Meeting,Sulawesi Utara,OH,Fullday / Halfday : Rp. 95.000; Fullboard : Rp. 130.000
331,Uang Harian Meeting,Gorontalo,OH,Fullday / Halfday : Rp. 95.000; Fullboard : Rp. 130.000
332,Uang Harian Meeting,Sulawesi Barat,OH,Fullday / Halfday : Rp. 85.000; Fullboard : Rp. 120.000
333,Uang Harian Meeting,Sulawesi Selatan,OH,Fullday / Halfday : Rp. 105.000; Fullboard : Rp. 150.000
334,Uang Harian Meeting,Sulawesi Tengah,OH,Fullday / Halfday : Rp. 95.000; Fullboard : Rp. 130.000
335,Uang Harian Meeting,Sulawesi Tenggara,OH,Fullday / Halfday : Rp. 95.000; Fullboard : Rp. 130.000
336,Uang Harian Meeting,Maluku,OH,Fullday / Halfday : Rp. 85.000; Fullboard : Rp. 20.000
337,Uang Harian Meeting,Maluku Utara,OH,Fullday / Halfday : Rp. 95.000; Fullboard : Rp. 130.000
338,Uang Harian Meeting,Papua,OH,Fullday / Halfday : Rp. 140.000; Fullboard : Rp. 200.000
339,Uang Harian Meeting,Papua Barat,OH,Fullday / Halfday : Rp. 115.000; Fullboard : Rp. 60.000
340,Uang Harian Meeting,Papua Barat Daya,OH,Fullday / Halfday : Rp. 115.000; Fullboard : Rp. 160.000
341,Uang Harian Meeting,Papua Tengah,OH,Fullday / Halfday : Rp. 140.000; Fullboard : Rp. 200.000
342,Uang Harian Meeting,Papua Selatan,OH,Fullday / Halfday : Rp. 140.000; Fullboard : Rp. 200.000
343,Uang Harian Meeting,Papua Pegunungan,OH,Fullday / Halfday : Rp. 140.000; Fullboard : Rp. 200.000
344,Konsumsi rapat,Aceh,OK,Makan Siang : Rp. 51.000; Snack : Rp. 20.000
345,Konsumsi rapat,Sumatra Utara,OK,Makan Siang : Rp. 47.000; Snack : Rp. 17.000
346,Konsumsi rapat,Riau,OK,Makan Siang : Rp. 50.000; Snack : Rp. 17.000
347,Konsumsi rapat,Kepulauan Riau,OK,Makan Siang : Rp. 44.000; Snack : Rp. 25.000
348,Konsumsi rapat,Jambi,OK,Makan Siang : Rp. 50.000; Snack : Rp. 18.000
349,Konsumsi rapat,Sumatra Barat,OK,Makan Siang : Rp. 45.000; Snack : Rp. 18.000
350,Konsumsi rapat,Sumatra Selatan,OK,Makan Siang : Rp. 63.000; Snack : Rp. 18.000
351,Konsumsi rapat,Lampung,OK,Makan Siang : Rp. 43.000; Snack : Rp. 21.000
352,Konsumsi rapat,Bengkulu,OK,Makan Siang : Rp. 48.000; Snack : Rp. 16.000
353,Konsumsi rapat,Bangka Belitung,OK,Makan Siang : Rp. 44.000; Snack : Rp. 19.000
354,Konsumsi rapat,Banten,OK,Makan Siang : Rp. 54.000; Snack : Rp. 20.000
355,Konsumsi rapat,Jawa Barat,OK,Makan Siang : Rp. 50.000; Snack : Rp. 21.000
356,Konsumsi rapat,D.K.I. Jakarta,OK,Makan Siang : Rp. 53.000; Snack : Rp. 24.000
357,Konsumsi rapat,Jawa Tengah,OK,Makan Siang : Rp. 68.750; Snack : Rp. 16.000
358,Konsumsi rapat,D.I. Yogyakarta,OK,Makan Siang : Rp. 55.000; Snack : Rp. 16.000
359,Konsumsi rapat,Jawa Timur,OK,Makan Siang : Rp. 49.000; Snack : Rp. 23.000
360,Konsumsi rapat,Bali,OK,Makan Siang : Rp. 48.000; Snack : Rp. 21.000
361,Konsumsi rapat,Nusa Tenggara Barat,OK,Makan Siang : Rp. 49.000; Snack : Rp. 18.000
362,Konsumsi rapat,Nusa Tenggara Timur,OK,Makan Siang : Rp. 52.000; Snack : Rp. 22.000
363,Konsumsi rapat,Kalimantan Barat,OK,Makan Siang : Rp. 51.000; Snack : Rp. 17.000
364,Konsumsi rapat,Kalimantan Tengah,OK,Makan Siang : Rp. 42.000; Snack : Rp. 15.000
365,Konsumsi rapat,Kalimantan Selatan,OK,Makan Siang : Rp. 51.000; Snack : Rp. 17.000
366,Konsumsi rapat,Kalimantan Timur,OK,Makan Siang : Rp. 48.000; Snack : Rp. 26.000
367,Konsumsi rapat,Kalimantan Utara,OK,Makan Siang : Rp. 53.000; Snack : Rp. 21.000
368,Konsumsi rapat,Sulawesi Utara,OK,Makan Siang : Rp. 55.000; Snack : Rp. 26.000
369,Konsumsi rapat,Gorontalo,OK,Makan Siang : Rp. 45.000; Snack : Rp. 15.000
370,Konsumsi rapat,Sulawesi Barat,OK,Makan Siang : Rp. 54.000; Snack : Rp. 21.000
371,Konsumsi rapat,Sulawesi Selatan,OK,Makan Siang : Rp. 56.000; Snack : Rp. 26.000
372,Konsumsi rapat,Sulawesi Tengah,OK,Makan Siang : Rp. 48.000; Snack : Rp. 18.000
373,Konsumsi rapat,Sulawesi Tenggara,OK,Makan Siang : Rp. 49.000; Snack : Rp. 21.000
374,Konsumsi rapat,Maluku,OK,Makan Siang : Rp. 59.000; Snack : Rp. 24.000
375,Konsumsi rapat,Maluku Utara,OK,Makan Siang : Rp. 63.000; Snack : Rp. 25.000
376,Konsumsi rapat,Papua,OK,Makan Siang : Rp. 61.000; Snack : Rp. 33.000
377,Konsumsi rapat,Papua Barat,OK,Makan Siang : Rp. 62.000; Snack : Rp. 27.000
378,Konsumsi rapat,Papua Barat Daya,OK,Makan Siang : Rp. 62.000; Snack : Rp. 27.000
379,Konsumsi rapat,Papua Tengah,OK,Makan Siang : Rp. 61.000; Snack : Rp. 33.000
380,Konsumsi rapat,Papua Selatan,OK,Makan Siang : Rp. 90.000; Snack : Rp. 49.000
381,Konsumsi rapat,Papua Pegunungan,OK,Makan Siang : Rp. 91.000; Snack : Rp. 40.000
